대분류코드,대분류구분,중분류코드,중분류구분,소분류코드,소분류구분
10,튀김류,102,육류튀김,10012002,닭튀김
5,찜류,51,어패류찜,5011001,대구찜
6,구이류,63,기타,6013001,더덕구이
11,"나물, 무침류",111,생채류,11011004,더덕무침
4,"국, 탕, 찌개류",43,곰국/탕류,4013013,도가니탕
11,"나물, 무침류",113,숙채류,11013003,도라지나물
11,"나물, 무침류",111,생채류,11011005,도라지생채
5,찜류,51,어패류찜,5011002,도미찜
11,"나물, 무침류",111,생채류,11011006,도토리묵
10,튀김류,102,육류튀김,10012003,돈가스
1,밥류,12,잡곡밥류,1012004,돌솥밥
7,"전, 부침류",72,육류전,7012001,동그랑땡
12,김치류,121,김치류,12011006,동치미
7,"전, 부침류",71,어패류전,7011003,동태전
9,조림류,91,어패류조림,9011005,동태조림
4,"국, 탕, 찌개류",45,어패류찌개,4015003,동태찌개
6,구이류,62,육류구이,6012003,돼지갈비구이
5,찜류,52,육류찜,5012002,돼지갈비찜
4,"국, 탕, 찌개류",49,기타,4019001,돼지고기김치찌개
9,조림류,93,육류조림,9013001,돼지고기메추리알장조림
8,볶음류,83,"육류, 난류볶음",8013001,돼지고기볶음
5,찜류,52,육류찜,5012003,돼지고기수육
1,밥류,15,"덮밥,국밥류",1015018,돼지국밥
8,볶음류,83,"육류, 난류볶음",8013002,돼지껍데기볶음
4,"국, 탕, 찌개류",47,된장찌개류,4017001,된장찌개
9,조림류,95,두류조림,9015003,두부고추장조림
6,구이류,63,기타,6013003,두부구이
8,볶음류,82,채소류볶음,8012005,두부김치
7,"전, 부침류",74,기타,7014002,두부부침
7,"전, 부침류",74,기타,7014003,두부전
4,"국, 탕, 찌개류",48,전골류,4018001,두부전골
2,"면, 만두류",21,면류,2011008,들깨칼국수
9,조림류,96,기타,9016001,땅콩조림
6,구이류,62,육류구이,6012004,떡갈비
2,"면, 만두류",21,면류,2011038,떡국
2,"면, 만두류",21,면류,2011009,떡라면
2,"면, 만두류",21,면류,2011039,떡만둣국
8,볶음류,84,"곡류, 두류볶음",8014001,떡볶이
2,"면, 만두류",21,면류,2011010,라면
8,볶음류,84,"곡류, 두류볶음",8014002,라볶이
13,"장아찌, 젓갈류",131,장아찌류,13011005,마늘장아찌
11,"나물, 무침류",111,생채류,11011007,마늘쫑무침
13,"장아찌, 젓갈류",131,장아찌류,13011002,마늘쫑장아찌
8,볶음류,84,"곡류, 두류볶음",8014003,마파두부
2,"면, 만두류",21,면류,2011011,막국수
2,"면, 만두류",22,만두류,2012005,만둣국
4,"국, 탕, 찌개류",43,곰국/탕류,4013005,매운탕
16,한과류,161,한과류,16011001,매작과
8,볶음류,82,채소류볶음,8012006,머위나물볶음
2,"면, 만두류",21,면류,2011012,메밀국수
15,떡류,151,떡류,15011005,메밀전병
9,조림류,92,난류조림,9012002,메추리알장조림
8,볶음류,81,어패류볶음,8011003,멸치볶음
13,"장아찌, 젓갈류",132,젓갈류,13012002,명란젓
10,튀김류,102,육류튀김,10012004,모래집튀김
11,"나물, 무침류",113,숙채류,11013004,무나물무침
11,"나물, 무침류",111,생채류,11011009,무말랭이무침
11,"나물, 무침류",111,생채류,11011008,무생채
13,"장아찌, 젓갈류",131,장아찌류,13011006,무장아찌
15,떡류,151,떡류,15011007,무지개떡
13,"장아찌, 젓갈류",131,장아찌류,13011010,피클
5,찜류,51,어패류찜,5011004,문어숙회
1,밥류,16,김밥/초밥,1016003,문어초밥
2,"면, 만두류",21,면류,2011013,물냉면
2,"면, 만두류",22,만두류,2012004,물만두
10,튀김류,101,어패류튀김,10011001,미꾸라지튀김
11,"나물, 무침류",113,숙채류,11013005,미나리나물
7,"전, 부침류",73,채소류전,7013006,미나리전
4,"국, 탕, 찌개류",42,된장국류,4012002,미소된장국
4,"국, 탕, 찌개류",41,맑은국류,4011005,미역국
4,"국, 탕, 찌개류",44,냉국류,4014001,미역오이냉국
11,"나물, 무침류",114,어패류무침,11014003,미역초무침
4,"국, 탕, 찌개류",41,맑은국류,4011006,바지락조개국
12,김치류,121,김치류,12011007,배추겉절이
12,김치류,121,김치류,12011008,배추김치
4,"국, 탕, 찌개류",42,된장국류,4012003,배추된장국
7,"전, 부침류",73,채소류전,7013007,배추전
12,김치류,121,김치류,12011009,백김치
15,떡류,151,떡류,15011008,백설기
7,"전, 부침류",73,채소류전,7013008,버섯전
4,"국, 탕, 찌개류",49,기타,4019002,버섯찌개
1,밥류,12,잡곡밥류,1012003,보리밥
1,밥류,14,"비빔밥,볶음밥류",1014003,볶음밥
2,"면, 만두류",21,면류,2011025,볶음우동
4,"국, 탕, 찌개류",46,육류찌개,4016001,부대찌개
12,김치류,121,김치류,12011010,부추김치
7,"전, 부침류",73,채소류전,7013009,부추전
9,조림류,91,어패류조림,9011006,북어조림
11,"나물, 무침류",114,어패류무침,11014004,북어채무침
6,구이류,62,육류구이,6012005,불고기
1,밥류,15,"덮밥,국밥류",1015002,불고기덮밥
2,"면, 만두류",21,면류,2011014,비빔국수
2,"면, 만두류",21,면류,2011015,비빔냉면
4,"국, 탕, 찌개류",42,된장국류,4012004,뼈다귀해장국
4,"국, 탕, 찌개류",43,곰국/탕류,4013024,뼈해장국
16,한과류,161,한과류,16011005,산자
1,밥류,14,"비빔밥,볶음밥류",1014009,산채비빔밥
4,"국, 탕, 찌개류",43,곰국/탕류,4013014,삼계탕
1,밥류,14,"비빔밥,볶음밥류",1014006,삼선볶음밥
2,"면, 만두류",21,면류,2011016,삼선우동
2,"면, 만두류",21,면류,2011017,삼선자장면
2,"면, 만두류",21,면류,2011018,삼선짬뽕
6,구이류,64,어패류구이,6014001,삼치구이
11,"나물, 무침류",112,샐러드류,11012001,상추겉절이
1,밥류,14,"비빔밥,볶음밥류",1014007,새우볶음밥
1,밥류,16,김밥/초밥,1016004,새우초밥
10,튀김류,101,어패류튀김,10011002,새우튀김
1,밥류,16,김밥/초밥,1016005,새우튀김롤
1,밥류,16,김밥/초밥,1016006,샐러드김밥
10,튀김류,101,어패류튀김,10011003,생선까스
14,회류,141,어패류,14011002,생선물회
14,회류,141,어패류,14011001,생연어
4,"국, 탕, 찌개류",42,된장국류,4012005,선지해장국
4,"국, 탕, 찌개류",43,곰국/탕류,4013015,설렁탕
5,찜류,52,육류찜,5012001,소갈비찜
1,밥류,15,"덮밥,국밥류",1015003,소고기국밥
1,밥류,16,김밥/초밥,1016008,소고기김밥
9,조림류,93,육류조림,9013002,소고기메추리알장조림
4,"국, 탕, 찌개류",41,맑은국류,4011007,소고기무국
4,"국, 탕, 찌개류",41,맑은국류,4011008,소고기미역국
3,"죽, 스프류",31,죽류,3011004,소고기버섯죽
4,"국, 탕, 찌개류",48,전골류,4018003,소고기전골
6,구이류,62,육류구이,6012006,소곱창구이
1,밥류,15,"덮밥,국밥류",1015017,소머리국밥
6,구이류,62,육류구이,6012008,소불고기
8,볶음류,83,"육류, 난류볶음",8013003,소세지볶음
6,구이류,62,육류구이,6012007,소양념갈비구이
1,밥류,15,"덮밥,국밥류",1015004,송이덮밥
15,떡류,151,떡류,15011009,송편(깨)
15,떡류,151,떡류,15011010,수수부꾸미
15,떡류,151,떡류,15011011,수수팥떡
2,"면, 만두류",21,면류,2011019,수제비
11,"나물, 무침류",113,숙채류,11013006,숙주나물무침
4,"국, 탕, 찌개류",41,맑은국류,4011010,순댓국
1,밥류,15,"덮밥,국밥류",1015012,순대국밥
8,볶음류,83,"육류, 난류볶음",8013004,순대볶음
4,"국, 탕, 찌개류",49,기타,4019004,순두부찌개
11,"나물, 무침류",113,숙채류,11013007,시금치나물무침
4,"국, 탕, 찌개류",42,된장국류,4012007,시금치된장국
4,"국, 탕, 찌개류",42,된장국류,4012008,시래기된장국
15,떡류,151,떡류,15011004,시루떡
2,"면, 만두류",21,면류,2011020,쌀국수
1,밥류,11,쌀밥류,1011001,쌀밥
11,"나물, 무침류",112,샐러드류,11012002,쑥갓나물무침
4,"국, 탕, 찌개류",42,된장국류,4012009,쑥된장국
15,떡류,151,떡류,15011012,쑥떡
5,찜류,51,어패류찜,5011008,아귀찜
4,"국, 탕, 찌개류",42,된장국류,4012010,아욱된장국
9,조림류,94,채소류조림,9014004,알감자조림
1,밥류,14,"비빔밥,볶음밥류",1014008,알밥
4,"국, 탕, 찌개류",43,곰국/탕류,4013017,알탕
7,"전, 부침류",73,채소류전,7013010,야채전
16,한과류,161,한과류,16011003,약과
15,떡류,151,떡류,15011013,약식
13,"장아찌, 젓갈류",131,장아찌류,13011007,양념게장
6,구이류,62,육류구이,6012009,양념왕갈비
10,튀김류,102,육류튀김,10012005,양념치킨
6,구이류,63,기타,6013002,양배추구이
8,볶음류,82,채소류볶음,8012007,양송이버섯볶음
13,"장아찌, 젓갈류",131,장아찌류,13011008,양파장아찌
4,"국, 탕, 찌개류",41,맑은국류,4011011,어묵국
8,볶음류,81,어패류볶음,8011004,어묵볶음
3,"죽, 스프류",31,죽류,3011005,어죽
1,밥류,16,김밥/초밥,1016010,연어롤
1,밥류,16,김밥/초밥,1016011,연어초밥
4,"국, 탕, 찌개류",43,곰국/탕류,4013018,연포탕
12,김치류,121,김치류,12011011,열무김치
2,"면, 만두류",21,면류,2011021,열무김치국수
1,밥류,14,"비빔밥,볶음밥류",1014013,열무비빔밥
12,김치류,121,김치류,12011012,열무얼갈이김치
8,볶음류,83,"육류, 난류볶음",8013005,오리불고기
4,"국, 탕, 찌개류",43,곰국/탕류,4013019,오리탕
1,밥류,14,"비빔밥,볶음밥류",1014010,오므라이스
8,볶음류,83,"육류, 난류볶음",8013006,오삼불고기
11,"나물, 무침류",111,생채류,11011010,오이생채
12,김치류,121,김치류,12011013,오이소박이
13,"장아찌, 젓갈류",131,장아찌류,13011009,오이지
13,"장아찌, 젓갈류",131,장아찌류,13011011,오이피클
2,"면, 만두류",21,면류,2011023,오일소스스파게티
4,"국, 탕, 찌개류",41,맑은국류,4011012,오징어국
1,밥류,15,"덮밥,국밥류",1015005,오징어덮밥
11,"나물, 무침류",114,어패류무침,11014010,오징어무침
8,볶음류,81,어패류볶음,8011005,오징어볶음
13,"장아찌, 젓갈류",132,젓갈류,13012001,오징어젓갈
8,볶음류,81,어패류볶음,8011006,오징어채볶음
10,튀김류,101,어패류튀김,10011005,오징어튀김
11,"나물, 무침류",113,숙채류,11013012,우거지나물무침
4,"국, 탕, 찌개류",42,된장국류,4012011,우거지된장국
4,"국, 탕, 찌개류",42,된장국류,4012012,우거지해장국
4,"국, 탕, 찌개류",42,된장국류,4012013,우렁된장국
9,조림류,94,채소류조림,9014003,우엉조림
16,한과류,161,한과류,16011004,유과
1,밥류,16,김밥/초밥,1016012,유부초밥
4,"국, 탕, 찌개류",43,곰국/탕류,4013023,육개장
14,회류,142,육류,14012002,육사시미
7,"전, 부침류",72,육류전,7012003,육전
14,회류,142,육류,14012001,육회
1,밥류,14,"비빔밥,볶음밥류",1014011,육회비빔밥
15,떡류,151,떡류,15011014,인절미
1,밥류,16,김밥/초밥,1016020,김밥
1,밥류,14,"비빔밥,볶음밥류",1014004,비빔밥
2,"면, 만두류",21,면류,2011024,일식우동
2,"면, 만두류",21,면류,2011027,자장면
1,밥류,15,"덮밥,국밥류",1015006,자장밥
2,"면, 만두류",21,면류,2011028,잔치국수
11,"나물, 무침류",115,육류무침,11015001,잡채
1,밥류,15,"덮밥,국밥류",1015007,잡채밥
1,밥류,15,"덮밥,국밥류",1015008,잡탕밥
3,"죽, 스프류",31,죽류,3011006,잣죽
1,밥류,15,"덮밥,국밥류",1015009,장어덮밥
1,밥류,16,김밥/초밥,1016013,장어초밥
3,"죽, 스프류",31,죽류,3011007,전복죽
1,밥류,14,"비빔밥,볶음밥류",1014005,전주비빔밥
1,밥류,15,"덮밥,국밥류",1015014,전주콩나물국밥
15,떡류,151,떡류,15011015,절편
1,밥류,15,"덮밥,국밥류",1015010,제육덮밥
9,조림류,91,어패류조림,9011007,조기조림
5,찜류,51,어패류찜,5011010,조기찜
5,찜류,52,육류찜,5012005,족발
8,볶음류,81,어패류볶음,8011007,쭈꾸미볶음
1,밥류,14,"비빔밥,볶음밥류",1014002,주먹밥
11,"나물, 무침류",114,어패류무침,11014006,쥐치채
10,튀김류,101,어패류튀김,10011004,쥐포튀김
15,떡류,151,떡류,15011016,증편
4,"국, 탕, 찌개류",43,곰국/탕류,4013012,지리탕
2,"면, 만두류",21,면류,2011040,짜장라면
2,"면, 만두류",21,면류,2011029,짬뽕
2,"면, 만두류",21,면류,2011030,짬뽕라면
1,밥류,15,"덮밥,국밥류",1015011,짬뽕밥
2,"면, 만두류",21,면류,2011031,쫄면
5,찜류,52,육류찜,5012004,찜닭
15,떡류,151,떡류,15011006,찰떡
5,찜류,51,어패류찜,5011011,참꼬막
1,밥류,16,김밥/초밥,1016014,참치김밥
4,"국, 탕, 찌개류",49,기타,4019003,참치김치찌개
1,밥류,16,김밥/초밥,1016015,참치마요삼각김밥
3,"죽, 스프류",31,죽류,3011008,참치죽
15,떡류,151,떡류,15011017,찹쌀떡
3,"죽, 스프류",31,죽류,3011009,채소죽
10,튀김류,104,"채소, 해조류튀김",10014006,채소튀김
4,"국, 탕, 찌개류",47,된장찌개류,4017002,청국장찌개
11,"나물, 무침류",112,샐러드류,11012003,청포묵무침
12,김치류,121,김치류,12011014,총각김치
4,"국, 탕, 찌개류",43,곰국/탕류,4013020,추어탕
11,"나물, 무침류",113,숙채류,11013009,취나물
1,밥류,16,김밥/초밥,1016017,치즈김밥
10,튀김류,102,육류튀김,10012006,치즈돈가스
2,"면, 만두류",21,면류,2011032,치즈라면
10,튀김류,102,육류튀김,10012007,치킨까스
6,구이류,62,육류구이,6012012,치킨데리야끼
6,구이류,62,육류구이,6012013,치킨윙
1,밥류,15,"덮밥,국밥류",1015013,카레라이스
1,밥류,16,김밥/초밥,1016018,캘리포니아롤
9,조림류,91,어패류조림,9011008,코다리조림
3,"죽, 스프류",32,스프류,3012001,콘스프
2,"면, 만두류",21,면류,2011033,콩국수
11,"나물, 무침류",113,숙채류,11013010,콩나물무침
4,"국, 탕, 찌개류",42,된장국류,4012006,콩나물국
1,밥류,12,잡곡밥류,1012002,콩밥
4,"국, 탕, 찌개류",49,기타,4019005,콩비지찌개
9,조림류,95,두류조림,9015002,콩조림
2,"면, 만두류",21,면류,2011034,크림소스스파게티
4,"국, 탕, 찌개류",41,맑은국류,4011014,탕국
10,튀김류,102,육류튀김,10012008,탕수육
11,"나물, 무침류",115,육류무침,11015002,탕평채
4,"국, 탕, 찌개류",41,맑은국류,4011013,토란국
2,"면, 만두류",21,면류,2011035,토마토소스스파게티
3,"죽, 스프류",32,스프류,3012002,토마토스프
12,김치류,121,김치류,12011015,파김치
11,"나물, 무침류",114,어패류무침,11014007,파래무침
11,"나물, 무침류",111,생채류,11011011,파무침
7,"전, 부침류",73,채소류전,7013011,파전
3,"죽, 스프류",31,죽류,3011010,팥죽
8,볶음류,82,채소류볶음,8012008,표고버섯볶음
1,밥류,15,"덮밥,국밥류",1015019,하이라이스
1,밥류,16,김밥/초밥,1016019,한치초밥
1,밥류,15,"덮밥,국밥류",1015015,해물덮밥
8,볶음류,81,어패류볶음,8011008,해물볶음
1,밥류,14,"비빔밥,볶음밥류",1014012,해물볶음밥
5,찜류,51,어패류찜,5011012,해물찜
2,"면, 만두류",21,면류,2011036,해물칼국수
4,"국, 탕, 찌개류",43,곰국/탕류,4013021,해물탕
7,"전, 부침류",71,어패류전,7011004,해물파전
11,"나물, 무침류",112,샐러드류,11012004,해파리냉채
4,"국, 탕, 찌개류",49,기타,4019006,햄김치찌개
6,구이류,62,육류구이,6012010,햄버거스테이크
7,"전, 부침류",72,육류전,7012002,햄부침
1,밥류,12,잡곡밥류,1012005,현미밥
8,볶음류,82,채소류볶음,8012010,호박볶음
7,"전, 부침류",73,채소류전,7013012,호박부침개
7,"전, 부침류",73,채소류전,7013013,호박전
3,"죽, 스프류",31,죽류,3011011,호박죽
4,"국, 탕, 찌개류",49,기타,4019007,호박찌개
11,"나물, 무침류",114,어패류무침,11014008,홍어무침
4,"국, 탕, 찌개류",41,맑은국류,4011015,홍합미역국
4,"국, 탕, 찌개류",41,맑은국류,4011016,황태해장국
2,"면, 만두류",21,면류,2011037,회냉면
1,밥류,15,"덮밥,국밥류",1015016,회덮밥
11,"나물, 무침류",114,어패류무침,11014005,회무침
14,회류,141,어패류,14011005,훈제연어
6,구이류,62,육류구이,6012011,훈제오리
1,밥류,12,잡곡밥류,1012006,흑미밥
